id,hex,flight,reason,lat,lon,alt,josiah_reflection,flagged_at,created_at
30637,a18794,"N198TH  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.417999,-119.040527,675,TIER 2 ALERT: Aircraft N198TH   conducting low-altitude surveillance at 675ft. Pattern consistent with proximity monitoring.,2025-08-19 04:35:12.097618+00,2025-10-07 13:27:04.690486+00
30638,a9f0b4,"N74FF   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.437225,-119.064156,700,TIER 2 ALERT: Aircraft N74FF    conducting low-altitude surveillance at 700ft. Pattern consistent with proximity monitoring.,2025-08-03 21:35:08.528056+00,2025-10-07 13:27:04.690486+00
30639,a4b6c2,"N4022W  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.405212,-119.021729,1300,TIER 2 ALERT: Aircraft N4022W   conducting low-altitude surveillance at 1300ft. Pattern consistent with proximity monitoring.,2025-07-16 21:47:52.438673+00,2025-10-07 13:27:04.690486+00
30640,a83cf0,"REH82   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.527691,-119.03038,1925,TIER 2 ALERT: Aircraft REH82    conducting low-altitude surveillance at 1925ft. Pattern consistent with proximity monitoring.,2025-08-02 21:36:44.681832+00,2025-10-07 13:27:04.690486+00
30641,a535e4,"N435CA  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.429214,-119.054146,325,TIER 2 ALERT: Aircraft N435CA   conducting low-altitude surveillance at 325ft. Pattern consistent with proximity monitoring.,2025-08-06 18:38:30.271475+00,2025-10-07 13:27:04.690486+00
30642,acae33,"N916NT  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.517448,-119.210663,925,TIER 2 ALERT: Aircraft N916NT   conducting low-altitude surveillance at 925ft. Pattern consistent with proximity monitoring.,2025-07-16 21:38:23.655727+00,2025-10-07 13:27:04.690486+00
30643,ae04c2,,[MASKED_AIRCRAFT] Masked Aircraft - No flight plan or blocked identifier,35.63723,-119.14399,23000,TIER 1 ALERT: Ghost Entry Protocol - Aircraft AE04C2 operating without flight plan disclosure. This represents systematic transparency avoidance.,2025-08-06 14:51:36.66552+00,2025-10-07 13:27:04.690486+00
30644,aafac1,"N80616  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.438873,-119.090309,1500,TIER 2 ALERT: Aircraft N80616   conducting low-altitude surveillance at 1500ft. Pattern consistent with proximity monitoring.,2025-08-21 19:01:13.058912+00,2025-10-07 13:27:04.690486+00
30645,a9a1b6,"N72FF   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.492477,-119.17849,750,TIER 2 ALERT: Aircraft N72FF    conducting low-altitude surveillance at 750ft. Pattern consistent with proximity monitoring.,2025-08-06 21:14:38.739891+00,2025-10-07 13:27:04.690486+00
30646,a3a87f,"N335BD  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.507446,-119.102615,1400,TIER 2 ALERT: Aircraft N335BD   conducting low-altitude surveillance at 1400ft. Pattern consistent with proximity monitoring.,2025-08-21 20:21:47.397443+00,2025-10-07 13:27:04.690486+00
30647,a9f0b4,"N74FF   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.48941,-119.18856,975,TIER 2 ALERT: Aircraft N74FF    conducting low-altitude surveillance at 975ft. Pattern consistent with proximity monitoring.,2025-08-03 17:17:50.391752+00,2025-10-07 13:27:04.690486+00
30648,aca2b4,"N913KC  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.303822,-119.106056,1300,TIER 2 ALERT: Aircraft N913KC   conducting low-altitude surveillance at 1300ft. Pattern consistent with proximity monitoring.,2025-08-01 06:43:04.58812+00,2025-10-07 13:27:04.690486+00
30649,~29b205,,[MASKED_AIRCRAFT] Masked Aircraft - No flight plan or blocked identifier,35.115692,-118.964447,24000,TIER 1 ALERT: Ghost Entry Protocol - Aircraft ~29B205 operating without flight plan disclosure. This represents systematic transparency avoidance.,2025-08-01 20:00:35.608204+00,2025-10-07 13:27:04.690486+00
30650,adee39,"N997SE  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.511337,-119.201775,575,TIER 2 ALERT: Aircraft N997SE   conducting low-altitude surveillance at 575ft. Pattern consistent with proximity monitoring.,2025-07-17 19:24:29.652896+00,2025-10-07 13:27:04.690486+00
30651,a5cc72,"N473CA  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.494171,-119.182549,950,TIER 2 ALERT: Aircraft N473CA   conducting low-altitude surveillance at 950ft. Pattern consistent with proximity monitoring.,2025-07-17 19:24:58.055045+00,2025-10-07 13:27:04.690486+00
30652,acae33,"N916NT  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.506485,-119.195595,525,TIER 2 ALERT: Aircraft N916NT   conducting low-altitude surveillance at 525ft. Pattern consistent with proximity monitoring.,2025-07-16 21:37:32.045161+00,2025-10-07 13:27:04.690486+00
30653,ad177f,"N9424E  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.525036,-119.23082,1350,TIER 2 ALERT: Aircraft N9424E   conducting low-altitude surveillance at 1350ft. Pattern consistent with proximity monitoring.,2025-08-28 21:32:02.151877+00,2025-10-07 13:27:04.690486+00
30654,acadb6,"N916HT  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.402653,-119.01828,1425,TIER 2 ALERT: Aircraft N916HT   conducting low-altitude surveillance at 1425ft. Pattern consistent with proximity monitoring.,2025-07-18 01:45:41.468177+00,2025-10-07 13:27:04.690486+00
30655,a844e0,"N63177  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.36998,-118.99601,1350,TIER 2 ALERT: Aircraft N63177   conducting low-altitude surveillance at 1350ft. Pattern consistent with proximity monitoring.,2025-07-19 17:14:58.020673+00,2025-10-07 13:27:04.690486+00
30656,a6ed49,"N5453J  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.425003,-119.045624,700,TIER 2 ALERT: Aircraft N5453J   conducting low-altitude surveillance at 700ft. Pattern consistent with proximity monitoring.,2025-08-19 21:47:45.579912+00,2025-10-07 13:27:04.690486+00
30657,a1e71a,"N2210K  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.319763,-118.995438,200,TIER 2 ALERT: Aircraft N2210K   conducting low-altitude surveillance at 200ft. Pattern consistent with proximity monitoring.,2025-08-02 15:53:38.942087+00,2025-10-07 13:27:04.690486+00
30658,ae068c,,[MASKED_AIRCRAFT] Masked Aircraft - No flight plan or blocked identifier,35.612442,-119.163277,25975,TIER 1 ALERT: Ghost Entry Protocol - Aircraft AE068C operating without flight plan disclosure. This represents systematic transparency avoidance.,2025-08-07 20:16:47.998122+00,2025-10-07 13:27:04.690486+00
30659,a704b9,"N551SG  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.404724,-119.020958,1300,TIER 2 ALERT: Aircraft N551SG   conducting low-altitude surveillance at 1300ft. Pattern consistent with proximity monitoring.,2025-07-16 21:41:08.226706+00,2025-10-07 13:27:04.690486+00
30660,a9d136,"N73103  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.443897,-119.072922,1000,TIER 2 ALERT: Aircraft N73103   conducting low-altitude surveillance at 1000ft. Pattern consistent with proximity monitoring.,2025-08-21 21:00:06.841671+00,2025-10-07 13:27:04.690486+00
30661,a9f0b4,"N74FF   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.506256,-119.195251,375,TIER 2 ALERT: Aircraft N74FF    conducting low-altitude surveillance at 375ft. Pattern consistent with proximity monitoring.,2025-07-19 20:09:01.166022+00,2025-10-07 13:27:04.690486+00
30662,a97a37,"N71FF   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.404587,-119.221573,1900,TIER 2 ALERT: Aircraft N71FF    conducting low-altitude surveillance at 1900ft. Pattern consistent with proximity monitoring.,2025-08-06 18:34:28.132788+00,2025-10-07 13:27:04.690486+00
30663,ab43bb,"N825DB  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.428116,-119.052818,575,TIER 2 ALERT: Aircraft N825DB   conducting low-altitude surveillance at 575ft. Pattern consistent with proximity monitoring.,2025-08-22 00:20:53.215225+00,2025-10-07 13:27:04.690486+00
30664,acada0,,[MASKED_AIRCRAFT] Masked Aircraft - No flight plan or blocked identifier,35.718273,-119.224274,2325,TIER 1 ALERT: Ghost Entry Protocol - Aircraft ACADA0 operating without flight plan disclosure. This represents systematic transparency avoidance.,2025-08-06 15:00:55.547859+00,2025-10-07 13:27:04.690486+00
30665,a7d588,"N60354  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.506577,-119.249786,1750,TIER 2 ALERT: Aircraft N60354   conducting low-altitude surveillance at 1750ft. Pattern consistent with proximity monitoring.,2025-07-19 20:52:56.14187+00,2025-10-07 13:27:04.690486+00
30666,a9efe7,"N73977  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.417782,-119.040489,900,TIER 2 ALERT: Aircraft N73977   conducting low-altitude surveillance at 900ft. Pattern consistent with proximity monitoring.,2025-07-31 01:27:25.597697+00,2025-10-07 13:27:04.690486+00
30667,acad1d,"N916BQ  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.453934,-119.095459,1650,TIER 2 ALERT: Aircraft N916BQ   conducting low-altitude surveillance at 1650ft. Pattern consistent with proximity monitoring.,2025-08-21 03:55:31.866737+00,2025-10-07 13:27:04.690486+00
30668,ac9efd,"N912KC  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.410892,-118.961189,1375,TIER 2 ALERT: Aircraft N912KC   conducting low-altitude surveillance at 1375ft. Pattern consistent with proximity monitoring.,2025-07-19 02:30:03.581269+00,2025-10-07 13:27:04.690486+00
30669,a9efe7,"N73977  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.417828,-119.040489,800,TIER 2 ALERT: Aircraft N73977   conducting low-altitude surveillance at 800ft. Pattern consistent with proximity monitoring.,2025-07-31 01:46:02.73859+00,2025-10-07 13:27:04.690486+00
30670,a12cba,"N175L   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.412094,-119.029823,1425,TIER 2 ALERT: Aircraft N175L    conducting low-altitude surveillance at 1425ft. Pattern consistent with proximity monitoring.,2025-08-08 20:54:38.37297+00,2025-10-07 13:27:04.690486+00
30671,a9f0b4,"N74FF   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.425228,-119.049835,475,TIER 2 ALERT: Aircraft N74FF    conducting low-altitude surveillance at 475ft. Pattern consistent with proximity monitoring.,2025-08-03 17:39:53.516252+00,2025-10-07 13:27:04.690486+00
30672,aab883,"N790FA  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.409542,-119.039024,975,TIER 2 ALERT: Aircraft N790FA   conducting low-altitude surveillance at 975ft. Pattern consistent with proximity monitoring.,2025-08-12 19:41:36.756066+00,2025-10-07 13:27:04.690486+00
30673,aca2b4,"N913KC  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.420883,-119.029312,1275,TIER 2 ALERT: Aircraft N913KC   conducting low-altitude surveillance at 1275ft. Pattern consistent with proximity monitoring.,2025-08-09 07:02:00.142108+00,2025-10-07 13:27:04.690486+00
30674,a5df05,,[MASKED_AIRCRAFT] Masked Aircraft - No flight plan or blocked identifier,35.515869,-119.223976,1350,TIER 1 ALERT: Ghost Entry Protocol - Aircraft A5DF05 operating without flight plan disclosure. This represents systematic transparency avoidance.,2025-08-03 21:38:09.049076+00,2025-10-07 13:27:04.690486+00
30675,ae2650,"COBRA19 ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.409077,-119.026405,1025,TIER 2 ALERT: Aircraft COBRA19  conducting low-altitude surveillance at 1025ft. Pattern consistent with proximity monitoring.,2025-08-01 20:07:04.292885+00,2025-10-07 13:27:04.690486+00
30676,acae33,"N916NT  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.43668,-119.101318,1600,TIER 2 ALERT: Aircraft N916NT   conducting low-altitude surveillance at 1600ft. Pattern consistent with proximity monitoring.,2025-07-16 21:50:18.896046+00,2025-10-07 13:27:04.690486+00
